Interactions matter - complexity in landscapes and ecosystems,"Green, DG; Sadedin, S",2005
Host culling as an adaptive management tool for chronic wasting disease in white-tailed deer: a modelling study,"Wasserberg, Gideon; Osnas, Erik E.; Rolley, Robert E.; Samuel, Michael D.",2009
Wildlife reservoirs for bovine tuberculosis (Mycobacterium bovis) in Canada: Strategies for management and research,"Nishi, JS; Shury, T; Elkin, BT",2006
"The role of research for integrated management of invasive species, invaded landscapes and communities","Buckley, Yvonne M.",2008
Wildlife-livestock conflict: the risk of pathogen transmission from bison to cattle outside Yellowstone National Park,"Kilpatrick, A. Marm; Gillin, Colin M.; Daszak, Peter",2009
Ecological conceptual models: a framework and case study on ecosystem management for South Florida sustainability,"Gentile, JH; Harwell, MA; Cropper, W; Harwell, CC; DeAngelis, D; Davis, S; Ogden, JC; Lirman, D",2001
Epidemiological modelling for monitoring and evaluation of lymphatic filariasis control,"Michael, Edwin; Malecela-Lazaro, Mwele N.; Kazura, James W.",2007
A Statistical Framework for the Adaptive Management of Epidemiological Interventions,"Merl, Daniel; Johnson, Leah R.; Gramacy, Robert B.; Mangel, Marc",2009
An epidemiological model of East Coast Fever in African livestock,"Gilioli, G.; Groppi, M.; Vesperoni, M. P.; Baumgartner, J.; Gutierrez, A. P.",2009
"The evolving impact of HIV/AIDS on outpatient health services an KwaZullu-Natal, South Africa","Parikh, Anokhi; Veenstra, Nina",2008
