SUSTAINABLE EXPLOITATION OF RENEWABLE RESOURCES,"HILBORN, R; WALTERS, CJ; LUDWIG, D",1995
FECUNDITY AND THE STOCK RECRUITMENT RELATIONSHIP,"KOSLOW, JA",1992
Managing fisheries involving predator and prey species,"Christensen, V",1996
TOWARDS SUSTAINABILITY - THE FISHERY EXPERIENCE,"CHARLES, AT",1994
ADAPTIVE MANAGEMENT OF DEVELOPING FISHERIES,"HILBORN, R; SIBERT, J",1988
USE OF GAMING PROCEDURES IN EVALUATION OF MANAGEMENT EXPERIMENTS,"WALTERS, C",1994
"The best available information - Some case studies from NSW, Australia, of conservation-related management responses which impact on recreational fishers","Smith, AK; Pollard, DA",1996
COOPERATIVE FISHERIES MANAGEMENT INVOLVING FIRST-NATIONS IN BRITISH-COLUMBIA - AN ADAPTIVE APPROACH TO STRATEGY DESIGN,"MCDANIELS, TL; HEALEY, M; PAISLEY, RK",1994
A BIOECONOMIC MODEL OF THE PACIFIC WHITING,"CONRAD, JM",1992
FISHERIES MANAGEMENT PLANNING - AN OPERATIONAL APPROACH TO ADAPTIVE MANAGEMENT OF A RENEWABLE RESOURCE FOR MULTIPLE OBJECTIVES USING QUALITATIVE INFORMATION,"KENDALL, S",1984
