PREDICTION OF UNEVENTFUL CARDIOVERSION AND MAINTENANCE OF SINUS RHYTHM FROM DIRECT-CURRENT ELECTRICAL CARDIOVERSION OF CHRONIC ATRIAL-FIBRILLATION AND FLUTTER,"VANGELDER, IC; CRIJNS, HJ; VANGILST, WH; VERWER, R; LIE, KI",1991
METHICILLIN-RESISTANT STAPHYLOCOCCUS-AUREUS - COLONIZATION AND INFECTION IN A LONG-TERM CARE FACILITY,"BRADLEY, SF; TERPENNING, MS; RAMSEY, MA; ZARINS, LT; JORGENSEN, KA; SOTTILE, WS; SCHABERG, DR; KAUFFMAN, CA",1991
EPIDEMIOLOGY OF HYPERTENSION IN DIABETIC-PATIENTS AND IMPLICATIONS FOR TREATMENT,"FULLER, JH; STEVENS, LK",1991
INTEGRATED PEST-MANAGEMENT AND THE EASTERN SPRUCE BUDWORM,"HUDAK, J",1991
MASS-SCREENING FOR NEUROBLASTOMA AND ESTIMATION OF COSTS,"NISHI, M; MIYAKE, H; TAKEDA, T; TAKASUGI, N; HANAI, J; KAWAI, T",1991
EPA GUIDELINE FOR INDOOR RADON LEVELS EVOKES RESPONSE FROM NUCLEAR-MEDICINE - EXPERTS DEBATE COST-BENEFIT-ANALYSIS AND EPIDEMIOLOGIC STUDIES,"HANSON, B",1987
COMPUTERS IN INFECTION CONTROL,"GUSTAFSON, TL",1991
POTENTIAL SAVINGS IN HEALTH-CARE EXPENDITURE BY INJURY PREVENTION - AN ARGUMENT FOR PUBLIC-POLICY DECISIONS,"JANSSON, B",1991
BETWEEN NIHILISM AND FANATICISM - THE ETHICS OF THE PREVENTION,"FABRE, J; ALLAZ, AF",1990
TREATMENT OF EMERGENCIES IN HOSPITAL AND PRIVATE-PRACTICE,"UNGER, PF",1990
