THE PERSPECTIVES ON URBAN FISHERIES MANAGEMENT - RESULTS OF A WORKSHOP,"SCHRAMM, HL; EDWARDS, GB",1994
CONSERVATION ETHICS AND FISHERY MANAGEMENT,"CALLICOTT, JB",1991
FISHER KINGS AND PUBLIC PLACES - THE OLD NEW AGE IN THE 1990S,"ALBANESE, CL",1993
VULNERABLE COASTAL AND MARINE AREAS - A FRAMEWORK FOR THE PLANNING OF ENVIRONMENTAL SECURITY ZONES IN THE OCEAN,"JOHNSTON, DM",1993
"USE AND NONUSE VALUES IN THE CONSERVATION OF ICHKEUL-NATIONAL-PARK, TUNISIA","THOMAS, DHL; AYACHE, F; HOLLIS, GE",1991
THE EMERGING SCIENCE-BASED ADVOCACY ROLE OF THE AMERICAN-FISHERIES-SOCIETY,"BROUHA, P",1993
"VALUING FISH IN AOTEAROA - THE TREATY, THE MARKET, AND THE INTRINSIC VALUE OF THE TROUT","OCONNOR, M",1994
"FISHER,AMY AND THE ETHICS OF HEADLINE DOCUDRAMAS + TELEVISION SENSATIONALISM","CARVETH, R",1993
SHOULD WE EAT THESE FISH - A SITUATIONAL ETHICS SURVEY OF AFS MEMBERS,"BROWN, PB; BEARD, TD; JACOBSON, RA; MATTICE, JS; PRISTAS, PJ; HINTON, MG",1993
Talladega open air classroom - A cooperative approach to environmental education,"Smith, RA; Davenport, K",1994
"ETHICS IN APPLIED DEVELOPMENTAL-PSYCHOLOGY - EMERGING ISSUES IN AN EMERGING FIELD - FISHER,CB, TRYON,WW","KEATING, DP",1992
"'IN SEARCH OF JERUSALEM RELIGION AND ETHICS IN WRITINGS OF A.M. KLEIN' - FISHER,G","GRADY, W",1977
