OPTIMIZATION AND SUBOPTIMIZATION IN FISHERY REGULATION,"TURVEY, R",1964
DYNAMIC OPTIMIZATION OF COMBINED HARVESTING OF A 2-SPECIES FISHERY,"CHAUDHURI, K",1988
"TRIALS, TRIBULATIONS, AND TRIUMPHS OF THE EM ALGORITHM IN PEDIGREE ANALYSIS","WEEKS, DE; LANGE, K",1989
EXPLOITATION OF A SINGLE-COHORT FISHERY UNDER RISK - A SIMULATION-OPTIMIZATION APPROACH,"DUDLEY, N; WAUGH, G",1980
OPTIMAL FISHING EFFORT OF CANADAS OFFSHORE GROUNDFISH FISHERIES - APPLICATION OF ECONOMIC OPTIMIZATION TECHNIQUES,"SANCHO, NGF; MITCHELL, CL",1977
A BIOECONOMIC ANALYSIS OF NORTH-SEA HERRING,"BJORNDAL, T",1990
A POSSIBLE OPTIMIZATION EXPERIMENT IN FISHERY MANAGEMENT,"KNIGHT, W",1970
OPTIMIZATION AND SUBOPTIMIZATION IN FISHERY REGULATION - COMMENT,"BOYD, JH",1966
COMPUTER-AIDED-DESIGN OF OPTIMAL-REGULATORS AND FILTERS WITH CONSTRAINTS,"AHMED, NU",1990
A DECISION SUPPORT MODEL FOR COASTAL FISHERY PLANNING - OPTIMAL CAPACITY EXPANSION AND HARVEST MANAGEMENT,"CHARLES, AT; YANG, CW",1990
A NUMERICAL-MODEL OF THE ICELANDIC DEMERSAL FISHERIES,"ARNASON, R",1990
OPTIMIZATION OF A FISHERY SAMPLING TECHNIQUE BY ANALYZING SPECIFIC DIVERSITY,"SAFRAN, P",1989
SURVEY DESIGN OPTIMIZATION FOR ESTIMATING THE EXPLOITABLE BIOMASS OF A FISHERY ACCOUNTING FOR NON-SAMPLING ERRORS,"SMITH, PJ",1988
