Expected value of sample information calculations in medical decision modeling,"Ades, AE; Lu, G; Claxton, K",2004
The CHEK2 gene and inherited breast cancer susceptibility,"Nevanlinna, H.; Bartek, J.",2006
Multiparameter evidence synthesis in epidemiology and medical decision-making: current approaches,"Ades, AE; Sutton, AJ",2006
"Surveillance of Barrett's oesophagus: exploring the uncertainty through systematic review, expert workshop and economic modelling","Garside, R; Pitt, M; Somerville, M; Stein, K; Price, A; Gilbert, N",2006
The cost-effectiveness of testing for hepatitis C in former injecting drug users,"Castelnuovo, E.; Thompson-Coon, J.; Pitt, M.; Cramp, M.; Siebert, U.; Price, A.; Stein, K.",2006
Methods for expected value of information analysis in complex health economic models: developments on the health economics of interferon-beta and glatiramer acetate for multiple sclerosis,"Tappenden, P; Chilcott, JB; Eggington, S; Oakley, J; McCabe, C",2004
Risk estimation and value-of-information analysis for three proposed genetic screening programs for chronic beryllium disease prevention,"Bartell, SM; Ponce, RA; Takaro, TK; Zerbe, RO; Omenn, GS; Faustman, EM",2000
Impacts of national surveillance for uncommon conditions in childhood,"Zurynski, Yvonne A.; Peadon, Elizabeth; Bower, Carol; Elliott, Elizabeth J.",2007
Dimensions of Design Space: A Decision-Theoretic Approach to Optimal Research Design,"Conti, Stefano; Claxton, Karl",2009
Research strategies for magnetic fields and cancer,"Peck, SC; Kavet, R",2005
